date	time	title	severity	claim	lesson	lines
20260826	07:27	The marker was 0-for-2 because the procedure never asked for it	MEDIUM	MEDIUM — a convention with a 0-for-2 record was blamed on the people following it, and the		27
20260826	07:33	The cycle's price, found by building the fix and backing it out	MEDIUM	MEDIUM — the obvious remedy for a defect had a cost nobody had counted, and counting it required		28
20260826	07:40	Every review pass rebuilds the map, and the expensive ones pay most for it		The cost is re-derivation, and it scales with the pass rather than away from it	the expensive part of a review pass is not the reviewing. It	71
20260826	11:30	The review step ran before the fragment existed, so the fragment was never reviewed	MEDIUM	207 of 248 files their increment changed — with `src/pinakes/__init__		67
20260826	11:46	The remedy for a bad survivor had a false-positive mode, and it was in the advice	MEDIUM	MEDIUM — the whole suite includes the test that fails on any edit to a battery target		35
20260826	11:51	A ratio over a growing denominator, and a stamp that should never have been read twice	MEDIUM	MEDIUM — three figures I put into `docs/BUILDING		38
20260830	09:29	Red on the clock, and five measurements of one string that all failed	MEDIUM	MEDIUM — a suite went red with no commit, and the design had already decided it should not		47
20260830	14:31	Unblocking the clock-red suite: the seam was the table, not the clock	MEDIUM	MEDIUM — a true observation pointed at a fix that would have reached none of the failures		46
20260826	11:47	S16/S19 — A fix that enforces a property globally unpins every test that asserted it locally	HIGH	HIGH — the finding is about the mutation harness, not about renames, and it is the most portable		60
20260830	15:04	A gate green on `main` and red on the tree `main` is about to become	MEDIUM	MEDIUM — three sessions measured one gate within an hour and got three answers, and every		34
20260830	15:15	S18 — the obvious fix would have shipped the defect it claimed to fix	HIGH	HIGH — the right answer was written down, one layer down, and taking it would have been wrong		50
20260831	21:58	"S16's residue — ""containment is one line"", and the line was too wide"		The review was right about the defect and wrong about the fix, and the two are easy to accept		39
20260831	22:21	S3 — a thread id is a slot the OS reuses, not an identity		The trigger is contention, not idleness		44
20260831	22:53	The release step written to catch a stale price, skipped by the release that wrote it				56
20260831	22:59	A population that could not have contained the thing I was looking for		main-loop-only population: subagent transcripts live under `<session>/subagents/` and were	the restricted population is the one that must be asked for by name, because a	98
20260831	23:26	I corrected a document I had not read		4 with no heading at all, 5 with no stamp, 9 with a stamp that is not the filename's		57
20260901	06:31	A composed number, again — and a test that was not a pin	HIGH	HIGH — the third block of the guard's own test asserted nothing		69
20260901	06:33	Re-running a measurement is not enough when there are two artifacts to run it against		"The rule that has caught every one of these is ""re-run the measurement"""		36
20260901	07:13	The rule I quoted verbatim had been deleted a minute after I started	HIGH	HIGH — the file you are told is authoritative is a copy, and the copy has no clock on it		122
20260901	07:15	A suspiciously clean result is a reason to check the harness, not to write it down		Sixteen runs agreed to the character, and not one of them had started		129
20260901	07:36	Build the instrument that can call a fan-out wrong before you read what it found		Both closures landed in the single most-churned file, and every byte-identical file closed		69
20260901	11:25	When a gate and a convention disagree, the shipped artifact is the tiebreaker — and it costs one grep		Two things to keep		44
20260901	11:40	A register decays at the speed of its neglect, and the rate is measurable		Same file, same author, same discipline, three and a half times the rot		34
20260901	11:41	I typed the counterevidence myself, then named the wrong mechanism anyway		The refutation was already in my own message		74
20260901	11:53	Two of us searched for how a file was deleted; it had never been deleted		The error is not that we missed a directory		31
20260901	12:00	An options table can be honest, complete, and wrong about the question		All three options shared a premise none of them stated		34
20260901	12:26	A watcher outlived the session that armed it, and reported green on a red build		It had no owner		54
20260901	18:26	A section number is only meaningful inside its own document		A cross-document reference lost its document and kept its number		27
20260901	18:40	A gate spoke correctly about an input nobody had edited	MEDIUM	MEDIUM — `		48
20260901	20:03	`git merge-base` is not the branch point after a rebase		Four agents in one review pass raised the same false finding, and every command each of them ran		35
20260901	20:36	I broke the table I was adding a row to, twice in one day		A row appended before the right anchor is not in the table		43
20260902	00:04	A clean result from an instrument that never ran		deleted it, where `git show <commit>:<path>` yields nothing — so it examined 15 of 127 and		39
20260902	00:07	I measured the live directory and answered about the corpus		Then the correction repeated the mistake one level down		39
20260902	02:04	I read an error message as evidence of the arm that raised it		Two refusals confirmed a mechanism that one more row would have falsified, and the missing row		38
20260902	02:45	A method is not a measurement point, and `--all` is not a corpus		The rule this leaves: a measurement is reproducible when it states an instrument and a point —		30
20260902	07:34	The one surface a later pass cannot fix is the one nobody reviews	MEDIUM	MEDIUM — three pushed commit messages on this branch carry four false sentences between them, and		89
20260902	07:41	The census I called correct was the one mixing selectors		Neither census stated its selector, and that is the whole defect — the same one I had landed a		30
20260902	08:11	I armed a CI watcher on a sha I had composed, not read		I expanded a short sha into a full one by writing plausible hex		139
20260902	08:30	The config does not name the renderer		The site's slugifier is not in `mkdocs		56
20260902	08:53	The restore command is the one that eats the work		A second instrument failure the same hour, and it is the sharper one		49
20260902	09:27	The fix for a loud crash was a silent deletion, and only a probe said so		The rule that generalises: when a fix changes what a downstream consumer is told, ask the consumer		50
20260902	10:07	A gate against unnoticed drift, and the two shapes it nearly could not see		The audit could not see the second instance, because of the shape of its own selector		49
20260902	10:26	I published a count I never ran, and a peer nearly stopped a correct release		What it cost		27
20260902	10:26	The gate I ran was not the gate CI runs, and the gap is where the defect was		The defect it found was real and had been dormant for a month		52
20260902	10:45	Both hops were green for the value of a constant neither of them mentions		The trigger is scheduled, not hypothetical		37
20260902	11:59	A mutant killed for the wrong reason is a survivor wearing a green light		That value cannot demonstrate the property		48
20260902	12:00	An example I reasoned about instead of running		Where it was going to land is the part worth keeping		41
20260902	21:18	S4's fix reproduced S4, on the one value class the framing excluded		0		109
20260903	08:30	A commit taken inside a mutation window shipped the mutant		While a battery is running, that worktree has no committable state		49
20260903	09:03	Three mutants killed for the wrong reason in one increment, and the pattern has three shapes		The check: a mutant is written against a property, so name the assertion it must fail before		83
20260903	10:23	The summary sentence disagreed with the table one screen above it	MEDIUM	MEDIUM — a plan's prose register and its own table register drifted apart, and the person who		35
20260903	10:24	A decision that did not foresee its third state	MEDIUM	MEDIUM — an answered decision can still be short a case, and building it is what finds out		28
20260903	10:24	A fixture named for a scenario it did not build	HIGH	HIGH — a test can be green, correctly named, and modelling a different world		25
20260903	10:24	The rollback took the fix with it	HIGH	HIGH — a fix that unit-tests green and does nothing, because a transaction boundary ate it		29
20260903	10:48	A green battery inherits its author's framing	MEDIUM	MEDIUM — the mutants a fix's author can imagine are the failure modes that author already	a battery written by the author of the fix measures the author's imagination, not the	49
20260903	12:58	A control must be shown able to fail	HIGH	HIGH — and it recurred an hour and a half after the same class was written down, by the same		57
20260903	12:58	A docstring can claim a surface the code never reached	HIGH	HIGH — written as intent, committed as fact, and it was the only record of the gap		26
20260903	12:58	A replace-all edits fixtures you never read	MEDIUM	MEDIUM — caught by a printed count, which is the only reason it was caught at all		28
20260903	12:58	A vague sentence made specific, and false	MEDIUM	MEDIUM — the fix made the message more precise, which is normally the improvement, and that is		24
20260903	13:18	The tag points at a commit CI never finished	MEDIUM	MEDIUM — a release tag can name a commit whose CI legs were cancelled, and nothing in the release	after pushing a release tag, read the CI run at the tagged commit per job, not per run. If	38
20260903	13:50	A gate that never ran the version it promised	HIGH	"HIGH — `requires-python = "">=3"		34
20260903	13:50	A measurement with an unnamed population, copied forward three times	HIGH	HIGH — the sentence said measured, and it was		32
20260903	13:50	I almost reported an invariant break I had not measured	MEDIUM	MEDIUM, and the outcome was fine — which is the reason to write it down		32
20260903	14:10	The fix stopped at the boundary I reasoned to, not the one the defect had		What happened		32
20260903	15:23	A two-way selector that can only fall one way		What happened		51
20260903	16:10	A fixture that never reached the code under test		What happened		46
20260903	16:10	A hook that could not fire for half the class		What happened		57
20260904	02:02	Row 32 — a ruling that was wrong on a premise, and a fake that outlived its branch	HIGH	HIGH — a decision can be wrong because of a fact, and the fix is to measure the decision, not to		42
20260904	02:12	A gate I read but did not obey	HIGH	HIGH — I landed over a red `	`;` between a gate and a commit is the same defect as piping the gate through `tail`, and	41
20260904	02:55	"Row 38 — a test that proved nothing, and a contract ""verified"" on one interpreter"	HIGH	HIGH — a test can stop testing anything without ever going red, and the only way to know is to		35
20260904	03:14	Row 40 — a count whose meaning depended on something nobody recorded	HIGH	HIGH — an equivalent mutant and an unpinned assertion are byte-identical in the report, and I		32
20260904	08:30	Row 39 — I tested the copy that did not contain the change, and broke `main` doing it	HIGH	HIGH — a smoke test run against the wrong binary reads exactly like a passing one		151
